Internet_Service,Online_Security,Tech_Support,Contract,Churn_Label
DSL,Yes,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,Yes,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,No,Yes,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
No,No internet service,No internet service,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,Yes,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,Yes,No,Month-to-month,Yes
No,No internet service,No internet service,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,Yes,Two year,Yes
Fiber optic,Yes,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,Yes,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,Yes,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,Yes,Yes,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,Yes,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,Yes,Month-to-month,Yes
Fiber optic,No,No,One year,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,Yes,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,Yes,Yes,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,No,Yes,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,Yes,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,Yes,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
No,No internet service,No internet service,Two year,Yes
Fiber optic,No,Yes,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,Yes,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,Yes,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,Yes,Yes,One year,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,Yes,Yes,One year,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,No,Yes,One year,Yes
Fiber optic,No,No,Two year,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,Yes,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
DSL,Yes,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,No,Month-to-month,Yes
Fiber optic,No,Yes,Month-to-month,Yes
